master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Solr,22,201807,55,6,119017,9
Internal Auditor,108,201401,1,12,33846,48
IBM Notes,103,201504,16,4,96803,46
Bash,35,201510,22,278,98076,15
Visual Basic,238,201807,55,609,119017,93
AutoCAD,31,201604,28,404,91296,12
KornShell,120,201811,59,99,111219,52
Mastercam,58,201701,37,27,93237,26
Switching and Routing,220,201903,63,203,123132,89
Epic Systems,79,201501,13,291,93237,37
After Effects,5,201503,15,235,102726,3
MicroStrategy,153,201701,37,117,93237,63
AWS Cloud,34,201507,19,582,97791,14
Selenium,205,201710,46,488,128582,85
Junit,118,201504,16,389,96803,51
Epic Systems,79,201605,29,306,89037,37
Security Policies and Procedures,202,201512,24,15,70310,82
QuickBooks,109,201904,64,63,132847,49
Dynamics,138,201810,58,3083,138853,58
Mastercam,58,201505,17,17,88049,26
ActionScript,4,201711,47,2,102152,2
Cognos Impromptu,100,201404,4,0,33323,44
Web Security and Encryption,242,201404,4,7,33323,96
Apache HTTP Server,20,201901,61,0,122037,8
Network Support,163,201801,49,54,115683,68
Fireworks,8,201703,39,4,110263,5
GIS Software,89,201708,44,5,123189,42
Content Strategy,62,201605,29,104,89037,28
Workforce Now,13,201803,51,8,121459,6
Sheet Metal Mechanic,206,201808,56,36,149917,86
Security Policies and Procedures,202,201806,54,109,122500,82
erwin,80,201406,6,13,32800,38
Bash,35,201401,1,46,33846,15
Bash,35,201704,40,291,104890,15
Natural Language Processing,270,201805,53,163,124699,105
