master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Revit,33,201412,12,108,63051,13
End User Support,253,201605,29,157,89037,100
Bash,35,201710,46,450,128582,15
QuickBooks,109,201905,65,49,140823,49
SAS,201,201707,43,210,101309,81
NoSQL,165,201805,53,675,124699,69
End User Support,253,201802,50,375,109017,100
Sheet Metal Mechanic,206,201712,48,43,76994,86
Solr,22,201610,34,95,95676,9
Selenium,205,201405,5,40,31909,85
Apache HTTP Server,20,201902,62,81,107087,8
erwin,80,201605,29,6,89037,38
Dynamics,138,201809,57,2905,114604,58
Mergers and Acquisitions,135,201705,41,26,119820,57
SAS,201,201711,47,267,102152,81
Top Secret Security Clearance,274,201604,28,0,91296,106
GIS Software,89,201511,23,9,89588,42
End User Support,253,201609,33,212,95325,100
Cisco Application Centric Infrastructure,264,201605,29,0,89037,103
Deployment,69,201901,61,4212,122037,33
SAS,201,201709,45,518,114349,81
SQL Server Reporting Services,148,201410,10,160,106289,61
Web Security and Encryption,242,201906,66,82,102962,96
JCL,113,201609,33,143,95325,50
NetSuite ERP,161,201608,32,11,104211,67
Security Policies and Procedures,202,201606,30,21,98515,82
Mergers and Acquisitions,135,201411,11,41,77278,57
Fireworks,8,201603,27,135,100182,5
Blockchain,39,201503,15,0,102726,18
End User Support,253,201612,36,83,62773,100
Kubernetes,121,201511,23,1,89588,53
Certified Anti Money Laundering Specialist,43,201602,26,0,87681,21
Mergers and Acquisitions,135,201505,17,153,88049,57
Security Risk Management,203,201904,64,131,132847,83
Delphi Technology,68,201903,63,127,123132,32
NetSuite ERP,161,201403,3,0,32230,67
FileMaker Pro,85,201511,23,4,89588,40
AEM Developer,266,201410,10,13,106289,104
Mergers and Acquisitions,135,201710,46,42,128582,57
Sheet Metal Mechanic,206,201802,50,89,109017,86
Pipe Welding,180,201507,19,62,97791,72
Crystal Reports,65,201506,18,47,99253,30
Business Intelligence,41,201504,16,659,96803,19
Dreamweaver,7,201508,20,50,94594,4
AutoCAD,31,201705,41,673,119820,12
Cognos Impromptu,100,201804,52,30,119002,44
After Effects,5,201401,1,0,33846,3
The Raiser's Edge,37,201510,22,1,98076,17
Django,71,201710,46,70,128582,34
Typescript,260,201504,16,15,96803,102
External Auditor,83,201811,59,83,111219,39
Kubernetes,121,201405,5,0,31909,53
Dynamics,138,201412,12,2646,63051,58
Marketo,129,201807,55,54,119017,56
Typescript,260,201705,41,37,119820,102
CICS,55,201612,36,32,62773,25
PostgreSQL,182,201506,18,74,99253,73
VBScript,149,201901,61,202,122037,62
Cognos Impromptu,100,201712,48,0,76994,44
TIG Welding,229,201708,44,274,123189,90
MySQL,158,201812,60,211,82761,66
QuickBooks,109,201508,20,40,94594,49
AutoCAD,31,201808,56,636,149917,12
MicroStrategy,153,201809,57,64,114604,63
Cisco Application Centric Infrastructure,264,201409,9,0,104405,103
Chatbot,53,201406,6,0,32800,24
GIS Software,89,201905,65,35,140823,42
TIG Welding,229,201806,54,300,122500,90
CATIA,42,201404,4,25,33323,20
Dynamics,138,201610,34,2344,95676,58
JCL,113,201501,13,551,93237,50
AWS Cloud,34,201703,39,438,110263,14
InfoSphere DataStage,102,201409,9,222,104405,45
QlikView,186,201903,63,109,123132,74
Data Entry Software,66,201905,65,4172,140823,31
Typescript,260,201507,19,11,97791,102
Chatbot,53,201610,34,21,95676,24
CICS,55,201609,33,117,95325,25
Business Intelligence,41,201704,40,793,104890,19
The Raiser's Edge,37,201404,4,0,33323,17
Solr,22,201503,15,117,102726,9
IBM Notes,103,201812,60,0,82761,46
Blockchain,39,201407,7,0,68567,18
VOIP,240,201502,14,244,89734,94
AutoCAD,31,201405,5,307,31909,12
SAS,201,201811,59,404,111219,81
Linux Scripting,127,201907,67,3,26524,55
Kubernetes,121,201902,62,529,107087,53
Selenium,205,201511,23,526,89588,85
Bash,35,201402,2,32,27637,15
AutoCAD,31,201711,47,503,102152,12
Linux  ,126,201403,3,353,32230,54
Marketo,129,201809,57,83,114604,56
MicroStrategy,153,201805,53,213,124699,63
Spring Boot,211,201711,47,172,102152,87
Minitab,156,201709,45,40,114349,65
Solr,22,201702,38,19,92181,9
QlikView,186,201402,2,8,27637,74
ASP.NET,28,201508,20,726,94594,10
Solr,22,201604,28,98,91296,9
Chatbot,53,201712,48,2,76994,24
Internal Auditor,108,201905,65,50,140823,48
SQL Server,147,201808,56,2951,149917,60
Linux Scripting,127,201704,40,40,104890,55
Crystal Reports,65,201510,22,207,98076,30
Crystal Reports,65,201410,10,168,106289,30
SolidWorks,259,201512,24,114,70310,101
NetSuite ERP,161,201809,57,33,114604,67
SketchUp Pro,230,201507,19,23,97791,91
Yardi,248,201806,54,7,122500,98
Financial Industry Regulatory Authority,86,201401,1,10,33846,41
SAP,198,201708,44,2263,123189,80
Stata,214,201705,41,2,119820,88
Certified Financial Planner,45,201706,42,0,112365,23
ActionScript,4,201806,54,3,122500,2
Certified Financial Planner,45,201410,10,10,106289,23
Delphi Technology,68,201605,29,3,89037,32
NoSQL,165,201812,60,328,82761,69
Spring Boot,211,201906,66,273,102962,87
ActiveX,2,201405,5,0,31909,1
EnterpriseOne,171,201411,11,3,77278,71
Content Strategy,62,201508,20,48,94594,28
Agile Development,14,201811,59,1006,111219,7
External Auditor,83,201402,2,12,27637,39
Blockchain,39,201803,51,3,121459,18
SPSS Statistics,105,201604,28,8,91296,47
JCL,113,201509,21,153,93766,50
SolidWorks,259,201810,58,306,138853,101
Secret Security Clearance,276,201706,42,22,112365,107
EnterpriseOne,171,201711,47,5,102152,71
Agile Development,14,201701,37,1098,93237,7
Minitab,156,201511,23,18,89588,65
Financial Industry Regulatory Authority,86,201707,43,10,101309,41
Natural Language Processing,270,201408,8,62,88809,105
Typescript,260,201508,20,40,94594,102
SAP,198,201411,11,1319,77278,80
NoSQL,165,201510,22,419,98076,69
Crystal Reports,65,201606,30,35,98515,30
Risk and Compliance,193,201506,18,146,99253,77
Data Entry Software,66,201612,36,84,62773,31
Security Testing and Auditing,204,201803,51,186,121459,84
Cost Accounting,63,201601,25,59,88469,29
Risk Analyst,192,201903,63,561,123132,76
Blockchain,39,201605,29,0,89037,18
Ruby,194,201601,25,364,88469,78
SketchUp Pro,230,201606,30,9,98515,91
ActiveX,2,201902,62,14,107087,1
VOIP,240,201702,38,228,92181,94
VOIP,240,201510,22,306,98076,94
CICS,55,201804,52,123,119002,25
Financial Industry Regulatory Authority,86,201508,20,16,94594,41
SAP,198,201408,8,1941,88809,80
Outlook,142,201903,63,5745,123132,59
KornShell,120,201806,54,9,122500,52
The Raiser's Edge,37,201509,21,2,93766,17
Crystal Reports,65,201903,63,38,123132,30
ActiveX,2,201901,61,9,122037,1
Internal Auditor,108,201512,24,16,70310,48
SQL Server Reporting Services,148,201702,38,241,92181,61
ActiveX,2,201904,64,33,132847,1
Agile Development,14,201708,44,1335,123189,7
Solr,22,201512,24,82,70310,9
After Effects,5,201509,21,58,93766,3
SQL Server,147,201903,63,2186,123132,60
Computer Aided Design and Drafting,61,201807,55,42,119017,27
SolidWorks,259,201808,56,197,149917,101
Junit,118,201902,62,425,107087,51
KornShell,120,201401,1,14,33846,52
Security Risk Management,203,201411,11,136,77278,83
AutoCAD,31,201811,59,466,111219,12
Mergers and Acquisitions,135,201704,40,44,104890,57
Crystal Reports,65,201710,46,90,128582,30
Marketo,129,201904,64,11,132847,56
Dodd-Frank,72,201903,63,3,123132,35
Financial Industry Regulatory Authority,86,201603,27,23,100182,41
erwin,80,201601,25,40,88469,38
Deployment,69,201807,55,3839,119017,33
KornShell,120,201810,58,78,138853,52
Linux  ,126,201602,26,2180,87681,54
SQL Server,147,201510,22,1740,98076,60
Stata,214,201403,3,0,32230,88
MicroStrategy,153,201803,51,76,121459,63
Security Risk Management,203,201907,67,1,26524,83
Certified Financial Planner,45,201607,31,11,88166,23
TIG Welding,229,201411,11,149,77278,90
Risk and Compliance,193,201609,33,102,95325,77
Online Analytical Processing,166,201706,42,38,112365,70
Web Security and Encryption,242,201905,65,7,140823,96
Marketo,129,201702,38,51,92181,56
Junit,118,201605,29,466,89037,51
Deployment,69,201602,26,3724,87681,33
Linux Scripting,127,201507,19,31,97791,55
SAP,198,201804,52,2444,119002,80
NetSuite ERP,161,201707,43,8,101309,67
Security Policies and Procedures,202,201902,62,98,107087,82
ASP.NET,28,201510,22,978,98076,10
Computer Aided Design and Drafting,61,201405,5,17,31909,27
Ruby on Rails,195,201902,62,162,107087,79
End User Support,253,201504,16,228,96803,100
SPSS Statistics,105,201612,36,5,62773,47
Drupal,73,201404,4,14,33323,36
Cognos Impromptu,100,201711,47,41,102152,44
Cost Accounting,63,201606,30,455,98515,29
MicroStrategy,153,201404,4,13,33323,63
Risk and Compliance,193,201407,7,49,68567,77
Top Secret Security Clearance,274,201511,23,1,89588,106
Online Analytical Processing,166,201610,34,39,95676,70
Computer Aided Design and Drafting,61,201410,10,46,106289,27
Spring Boot,211,201607,31,10,88166,87
PostgreSQL,182,201403,3,14,32230,73
FileMaker Pro,85,201602,26,6,87681,40
QlikView,186,201405,5,7,31909,74
WildFly,190,201710,46,307,128582,75
CATIA,42,201610,34,36,95676,20
GIS Software,89,201807,55,7,119017,42
ActionScript,4,201803,51,8,121459,2
WildFly,190,201711,47,329,102152,75
Certified Anti Money Laundering Specialist,43,201411,11,0,77278,21
Chatbot,53,201709,45,120,114349,24
AutoCAD,31,201805,53,544,124699,12
KornShell,120,201507,19,25,97791,52
Crystal Reports,65,201601,25,46,88469,30
Spring Boot,211,201907,67,24,26524,87
TIG Welding,229,201807,55,291,119017,90
VPN,241,201504,16,519,96803,95
Fireworks,8,201804,52,1,119002,5
Web Security and Encryption,242,201902,62,18,107087,96
SAS,201,201706,42,247,112365,81
Spring Boot,211,201903,63,616,123132,87
KornShell,120,201503,15,91,102726,52
Chatbot,53,201905,65,12,140823,24
GIS Software,89,201602,26,4,87681,42
FileMaker Pro,85,201804,52,53,119002,40
MIG Welding,154,201702,38,498,92181,64
InfoSphere DataStage,102,201612,36,35,62773,45
Dodd-Frank,72,201604,28,2,91296,35
Network Support,163,201708,44,118,123189,68
Visual Basic,238,201708,44,472,123189,93
Security Testing and Auditing,204,201605,29,151,89037,84
Network Support,163,201610,34,92,95676,68
Certified Anti Money Laundering Specialist,43,201808,56,0,149917,21
KornShell,120,201407,7,20,68567,52
Stata,214,201604,28,2,91296,88
Linux  ,126,201810,58,3318,138853,54
CATIA,42,201901,61,79,122037,20
External Auditor,83,201507,19,91,97791,39
PostgreSQL,182,201412,12,48,63051,73
Dynamics,138,201805,53,2958,124699,58
Chatbot,53,201602,26,0,87681,24
Drupal,73,201502,14,11,89734,36
AutoCAD,31,201401,1,375,33846,12
Outlook,142,201605,29,3085,89037,59
VBScript,149,201611,35,57,83334,62
NoSQL,165,201505,17,462,88049,69
EnterpriseOne,171,201901,61,11,122037,71
Linux  ,126,201801,49,2394,115683,54
T-SQL,232,201907,67,7,26524,92
Pipe Welding,180,201405,5,45,31909,72
PostgreSQL,182,201607,31,82,88166,73
Revit,33,201403,3,90,32230,13
Data Entry Software,66,201411,11,354,77278,31
Deployment,69,201510,22,3739,98076,33
Django,71,201702,38,26,92181,34
Junit,118,201506,18,319,99253,51
Kubernetes,121,201502,14,0,89734,53
VBScript,149,201610,34,57,95676,62
Solr,22,201812,60,50,82761,9
MicroStrategy,153,201703,39,65,110263,63
Golang,91,201608,32,3,104211,43
Certified Credit Professional,44,201504,16,22,96803,22
Certified Anti Money Laundering Specialist,43,201903,63,0,123132,21
SketchUp Pro,230,201901,61,21,122037,91
VOIP,240,201412,12,175,63051,94
Content Strategy,62,201709,45,112,114349,28
TIG Welding,229,201603,27,191,100182,90
Switching and Routing,220,201605,29,205,89037,89
Mastercam,58,201808,56,20,149917,26
The Raiser's Edge,37,201412,12,1,63051,17
Workforce Now,13,201705,41,5,119820,6
QlikView,186,201612,36,32,62773,74
Security Policies and Procedures,202,201410,10,63,106289,82
VOIP,240,201812,60,113,82761,94
SolidWorks,259,201710,46,199,128582,101
Certified Anti Money Laundering Specialist,43,201405,5,0,31909,21
The Raiser's Edge,37,201702,38,0,92181,17
erwin,80,201501,13,21,93237,38
Ruby on Rails,195,201702,38,55,92181,79
Epic Systems,79,201907,67,269,26524,37
Microstation,36,201602,26,75,87681,16
After Effects,5,201701,37,65,93237,3
Ruby on Rails,195,201608,32,69,104211,79
CATIA,42,201503,15,39,102726,20
NoSQL,165,201811,59,524,111219,69
End User Support,253,201507,19,250,97791,100
Azure,251,201807,55,770,119017,99
Secret Security Clearance,276,201902,62,37,107087,107
SolidWorks,259,201705,41,250,119820,101
Minitab,156,201801,49,42,115683,65
Epic Systems,79,201602,26,401,87681,37
erwin,80,201907,67,2,26524,38
Marketo,129,201503,15,33,102726,56
Drupal,73,201702,38,54,92181,36
Crystal Reports,65,201407,7,31,68567,30
Internal Auditor,108,201712,48,68,76994,48
Linux  ,126,201906,66,2006,102962,54
Bash,35,201502,14,296,89734,15
Dynamics,138,201902,62,3664,107087,58
Augmented Reality,30,201704,40,2,104890,11
SQL Server Reporting Services,148,201510,22,233,98076,61
Web Security and Encryption,242,201711,47,77,102152,96
PostgreSQL,182,201712,48,94,76994,73
EnterpriseOne,171,201501,13,3,93237,71
Kubernetes,121,201707,43,104,101309,53
FileMaker Pro,85,201501,13,1,93237,40
NetSuite ERP,161,201510,22,8,98076,67
IBM Notes,103,201609,33,1,95325,46
Content Strategy,62,201810,58,219,138853,28
Mergers and Acquisitions,135,201806,54,79,122500,57
Revit,33,201409,9,107,104405,13
EnterpriseOne,171,201905,65,1,140823,71
Fireworks,8,201604,28,43,91296,5
Blockchain,39,201812,60,1,82761,18
End User Support,253,201407,7,182,68567,100
SPSS Statistics,105,201504,16,26,96803,47
CATIA,42,201402,2,39,27637,20
SQL Server,147,201708,44,1264,123189,60
SAP,198,201902,62,2517,107087,80
Security Risk Management,203,201508,20,18,94594,83
Golang,91,201709,45,7,114349,43
InfoSphere DataStage,102,201805,53,22,124699,45
CATIA,42,201508,20,59,94594,20
Business Intelligence,41,201603,27,787,100182,19
The Raiser's Edge,37,201601,25,2,88469,17
Risk and Compliance,193,201707,43,80,101309,77
Linux  ,126,201612,36,1489,62773,54
Golang,91,201511,23,0,89588,43
CATIA,42,201401,1,58,33846,20
WildFly,190,201412,12,213,63051,75
Revit,33,201902,62,171,107087,13
Microstation,36,201805,53,41,124699,16
Certified Credit Professional,44,201805,53,15,124699,22
Augmented Reality,30,201611,35,0,83334,11
Certified Financial Planner,45,201509,21,0,93766,23
Risk and Compliance,193,201901,61,229,122037,77
ActionScript,4,201511,23,7,89588,2
Microstation,36,201501,13,37,93237,16
The Raiser's Edge,37,201506,18,1,99253,17
MySQL,158,201704,40,368,104890,66
Spring Boot,211,201401,1,0,33846,87
Online Analytical Processing,166,201705,41,352,119820,70
Financial Industry Regulatory Authority,86,201502,14,24,89734,41
Solr,22,201707,43,47,101309,9
Security Policies and Procedures,202,201609,33,46,95325,82
Spring Boot,211,201510,22,2,98076,87
Web Security and Encryption,242,201604,28,67,91296,96
T-SQL,232,201903,63,513,123132,92
Ruby,194,201503,15,348,102726,78
erwin,80,201811,59,32,111219,38
ActiveX,2,201504,16,1,96803,1
CATIA,42,201512,24,43,70310,20
Outlook,142,201612,36,2127,62773,59
Risk Analyst,192,201402,2,50,27637,76
EnterpriseOne,171,201402,2,0,27637,71
KornShell,120,201812,60,47,82761,52
Linux  ,126,201703,39,2866,110263,54
ActionScript,4,201808,56,7,149917,2
Outlook,142,201702,38,2914,92181,59
Linux  ,126,201407,7,1383,68567,54
Agile Development,14,201509,21,1089,93766,7
Bash,35,201812,60,194,82761,15
Secret Security Clearance,276,201904,64,50,132847,107
Fireworks,8,201810,58,55,138853,5
Stata,214,201706,42,9,112365,88
Business Intelligence,41,201508,20,587,94594,19
Chatbot,53,201408,8,0,88809,24
Delphi Technology,68,201601,25,5,88469,32
CICS,55,201904,64,84,132847,25
Marketo,129,201602,26,62,87681,56
Computer Aided Design and Drafting,61,201412,12,11,63051,27
Spring Boot,211,201812,60,181,82761,87
AEM Developer,266,201805,53,39,124699,104
NetSuite ERP,161,201811,59,20,111219,67
Cognos Impromptu,100,201505,17,0,88049,44
Ruby,194,201604,28,275,91296,78
Workforce Now,13,201710,46,7,128582,6
Marketo,129,201706,42,101,112365,56
Sheet Metal Mechanic,206,201710,46,73,128582,86
Minitab,156,201809,57,90,114604,65
Solr,22,201412,12,33,63051,9
Content Strategy,62,201905,65,207,140823,28
Online Analytical Processing,166,201410,10,130,106289,70
JCL,113,201903,63,92,123132,50
Django,71,201503,15,6,102726,34
Django,71,201807,55,18,119017,34
SQL Server Reporting Services,148,201803,51,276,121459,61
Security Policies and Procedures,202,201807,55,71,119017,82
NoSQL,165,201407,7,151,68567,69
Linux Scripting,127,201811,59,63,111219,55
erwin,80,201806,54,38,122500,38
Agile Development,14,201712,48,653,76994,7
EnterpriseOne,171,201601,25,2,88469,71
VPN,241,201701,37,441,93237,95
Business Intelligence,41,201512,24,596,70310,19
Typescript,260,201708,44,83,123189,102
WildFly,190,201505,17,378,88049,75
ActiveX,2,201701,37,1,93237,1
AEM Developer,266,201604,28,100,91296,104
AutoCAD,31,201506,18,606,99253,12
Content Strategy,62,201808,56,132,149917,28
Cognos Impromptu,100,201408,8,22,88809,44
InfoSphere DataStage,102,201411,11,149,77278,45
Cisco Application Centric Infrastructure,264,201809,57,4,114604,103
Certified Financial Planner,45,201512,24,0,70310,23
VPN,241,201703,39,647,110263,95
KornShell,120,201511,23,43,89588,52
Switching and Routing,220,201612,36,218,62773,89
Crystal Reports,65,201708,44,36,123189,30
VBScript,149,201708,44,98,123189,62
VBScript,149,201605,29,124,89037,62
JCL,113,201511,23,155,89588,50
External Auditor,83,201611,35,35,83334,39
ASP.NET,28,201701,37,485,93237,10
Outlook,142,201604,28,3075,91296,59
Security Testing and Auditing,204,201612,36,61,62773,84
QlikView,186,201711,47,55,102152,74
JCL,113,201403,3,15,32230,50
XHTML,246,201509,21,40,93766,97
Dynamics,138,201605,29,3007,89037,58
Online Analytical Processing,166,201502,14,37,89734,70
Epic Systems,79,201406,6,115,32800,37
After Effects,5,201404,4,0,33323,3
Microstation,36,201904,64,68,132847,16
Data Entry Software,66,201812,60,474,82761,31
Solr,22,201811,59,177,111219,9
Stata,214,201906,66,1,102962,88
XHTML,246,201708,44,125,123189,97
Dynamics,138,201704,40,2121,104890,58
Financial Industry Regulatory Authority,86,201710,46,31,128582,41
MySQL,158,201907,67,43,26524,66
Linux Scripting,127,201803,51,7,121459,55
Revit,33,201801,49,222,115683,13
Linux Scripting,127,201509,21,32,93766,55
Blockchain,39,201907,67,0,26524,18
Fireworks,8,201612,36,12,62773,5
JCL,113,201708,44,71,123189,50
IBM Notes,103,201610,34,0,95676,46
Risk Analyst,192,201606,30,396,98515,76
Marketo,129,201608,32,53,104211,56
Delphi Technology,68,201809,57,11,114604,32
Stata,214,201808,56,21,149917,88
SAP,198,201904,64,2554,132847,80
Yardi,248,201704,40,5,104890,98
Typescript,260,201506,18,0,99253,102
Chatbot,53,201811,59,28,111219,24
Crystal Reports,65,201408,8,110,88809,30
ActionScript,4,201405,5,5,31909,2
Linux  ,126,201905,65,4156,140823,54
Yardi,248,201705,41,7,119820,98
Natural Language Processing,270,201707,43,17,101309,105
Network Support,163,201806,54,71,122500,68
Sheet Metal Mechanic,206,201502,14,12,89734,86
WildFly,190,201805,53,568,124699,75
Top Secret Security Clearance,274,201603,27,1,100182,106
Chatbot,53,201805,53,3,124699,24
Online Analytical Processing,166,201511,23,139,89588,70
Golang,91,201702,38,63,92181,43
Chatbot,53,201509,21,0,93766,24
SAS,201,201511,23,246,89588,81
VPN,241,201611,35,379,83334,95
SketchUp Pro,230,201605,29,51,89037,91
AEM Developer,266,201711,47,37,102152,104
Dodd-Frank,72,201811,59,3,111219,35
Cisco Application Centric Infrastructure,264,201504,16,0,96803,103
Pipe Welding,180,201812,60,68,82761,72
KornShell,120,201705,41,57,119820,52
Dodd-Frank,72,201503,15,82,102726,35
Secret Security Clearance,276,201405,5,10,31909,107
Revit,33,201705,41,149,119820,13
Ruby on Rails,195,201602,26,12,87681,79
Dreamweaver,7,201711,47,54,102152,4
CATIA,42,201506,18,31,99253,20
VPN,241,201401,1,143,33846,95
Junit,118,201708,44,399,123189,51
Financial Industry Regulatory Authority,86,201609,33,24,95325,41
SQL Server,147,201709,45,1108,114349,60
ActionScript,4,201802,50,7,109017,2
TIG Welding,229,201404,4,208,33323,90
Apache HTTP Server,20,201412,12,12,63051,8
Selenium,205,201812,60,383,82761,85
Switching and Routing,220,201804,52,253,119002,89
CICS,55,201712,48,47,76994,25
Financial Industry Regulatory Authority,86,201407,7,20,68567,41
Visual Basic,238,201506,18,1623,99253,93
Financial Industry Regulatory Authority,86,201705,41,7,119820,41
Solr,22,201803,51,93,121459,9
Crystal Reports,65,201902,62,199,107087,30
Natural Language Processing,270,201807,55,81,119017,105
Data Entry Software,66,201405,5,12,31909,31
SPSS Statistics,105,201410,10,104,106289,47
SAS,201,201605,29,418,89037,81
Switching and Routing,220,201508,20,147,94594,89
EnterpriseOne,171,201807,55,3,119017,71
QuickBooks,109,201402,2,59,27637,49
Yardi,248,201805,53,12,124699,98
SAP,198,201510,22,1722,98076,80
Workforce Now,13,201903,63,7,123132,6
Kubernetes,121,201508,20,0,94594,53
TIG Welding,229,201707,43,305,101309,90
SketchUp Pro,230,201906,66,7,102962,91
GIS Software,89,201701,37,7,93237,42
MySQL,158,201701,37,362,93237,66
Certified Anti Money Laundering Specialist,43,201710,46,0,128582,21
Dodd-Frank,72,201709,45,20,114349,35
QuickBooks,109,201404,4,38,33323,49
PostgreSQL,182,201507,19,147,97791,73
Azure,251,201709,45,862,114349,99
IBM Notes,103,201602,26,1,87681,46
SketchUp Pro,230,201907,67,6,26524,91
The Raiser's Edge,37,201706,42,1,112365,17
Deployment,69,201708,44,3887,123189,33
CICS,55,201807,55,119,119017,25
Stata,214,201409,9,1,104405,88
MIG Welding,154,201408,8,450,88809,64
CATIA,42,201609,33,28,95325,20
Ruby on Rails,195,201606,30,17,98515,79
Dynamics,138,201906,66,2503,102962,58
Junit,118,201702,38,658,92181,51
Linux Scripting,127,201807,55,6,119017,55
VOIP,240,201612,36,189,62773,94
ActionScript,4,201907,67,1,26524,2
Mastercam,58,201810,58,33,138853,26
Cost Accounting,63,201806,54,96,122500,29
Chatbot,53,201405,5,0,31909,24
JCL,113,201507,19,237,97791,50
MIG Welding,154,201503,15,332,102726,64
Risk Analyst,192,201411,11,390,77278,76
Mergers and Acquisitions,135,201706,42,58,112365,57
Workforce Now,13,201812,60,0,82761,6
Azure,251,201802,50,1021,109017,99
Data Entry Software,66,201804,52,640,119002,31
Linux Scripting,127,201801,49,84,115683,55
PostgreSQL,182,201706,42,165,112365,73
Security Testing and Auditing,204,201811,59,117,111219,84
Minitab,156,201705,41,59,119820,65
KornShell,120,201710,46,56,128582,52
IBM Notes,103,201907,67,0,26524,46
Linux  ,126,201508,20,2709,94594,54
Bash,35,201906,66,484,102962,15
Stata,214,201504,16,1,96803,88
Solr,22,201411,11,14,77278,9
CICS,55,201506,18,210,99253,25
TIG Welding,229,201710,46,222,128582,90
Switching and Routing,220,201606,30,434,98515,89
Data Entry Software,66,201710,46,1117,128582,31
Mergers and Acquisitions,135,201801,49,47,115683,57
MIG Welding,154,201805,53,657,124699,64
Kubernetes,121,201811,59,269,111219,53
Computer Aided Design and Drafting,61,201611,35,42,83334,27
Blockchain,39,201802,50,3,109017,18
Security Testing and Auditing,204,201701,37,157,93237,84
Sheet Metal Mechanic,206,201609,33,18,95325,86
The Raiser's Edge,37,201812,60,0,82761,17
KornShell,120,201803,51,38,121459,52
Ruby,194,201501,13,225,93237,78
KornShell,120,201605,29,88,89037,52
Cost Accounting,63,201901,61,76,122037,29
SAS,201,201612,36,112,62773,81
Ruby on Rails,195,201509,21,21,93766,79
Microstation,36,201502,14,75,89734,16
NetSuite ERP,161,201709,45,13,114349,67
Django,71,201411,11,18,77278,34
EnterpriseOne,171,201805,53,3,124699,71
Agile Development,14,201604,28,830,91296,7
VOIP,240,201607,31,169,88166,94
QuickBooks,109,201703,39,53,110263,49
Agile Development,14,201507,19,903,97791,7
Mastercam,58,201801,49,17,115683,26
Linux  ,126,201507,19,2574,97791,54
SPSS Statistics,105,201509,21,35,93766,47
WildFly,190,201804,52,556,119002,75
NoSQL,165,201604,28,211,91296,69
Dreamweaver,7,201803,51,90,121459,4
SolidWorks,259,201408,8,203,88809,101
Golang,91,201403,3,0,32230,43
Fireworks,8,201609,33,9,95325,5
Content Strategy,62,201604,28,112,91296,28
Drupal,73,201711,47,28,102152,36
Chatbot,53,201606,30,0,98515,24
Fireworks,8,201801,49,0,115683,5
AWS Cloud,34,201512,24,90,70310,14
Certified Credit Professional,44,201403,3,1,32230,22
Microstation,36,201812,60,21,82761,16
PostgreSQL,182,201510,22,269,98076,73
Linux Scripting,127,201710,46,54,128582,55
Security Risk Management,203,201609,33,13,95325,83
EnterpriseOne,171,201608,32,1,104211,71
Cisco Application Centric Infrastructure,264,201804,52,5,119002,103
Content Strategy,62,201606,30,181,98515,28
MicroStrategy,153,201608,32,88,104211,63
Drupal,73,201904,64,77,132847,36
Kubernetes,121,201504,16,0,96803,53
Apache HTTP Server,20,201805,53,3,124699,8
Security Risk Management,203,201402,2,3,27637,83
Outlook,142,201709,45,2539,114349,59
Top Secret Security Clearance,274,201810,58,9,138853,106
AEM Developer,266,201504,16,6,96803,104
SolidWorks,259,201511,23,147,89588,101
External Auditor,83,201702,38,69,92181,39
Security Risk Management,203,201707,43,55,101309,83
NetSuite ERP,161,201504,16,13,96803,67
Selenium,205,201805,53,671,124699,85
External Auditor,83,201406,6,15,32800,39
erwin,80,201904,64,92,132847,38
Security Policies and Procedures,202,201611,35,74,83334,82
Mergers and Acquisitions,135,201809,57,36,114604,57
QuickBooks,109,201805,53,39,124699,49
TIG Welding,229,201511,23,106,89588,90
erwin,80,201609,33,33,95325,38
MySQL,158,201410,10,606,106289,66
Crystal Reports,65,201508,20,67,94594,30
Cost Accounting,63,201410,10,230,106289,29
Junit,118,201712,48,244,76994,51
NoSQL,165,201810,58,446,138853,69
GIS Software,89,201603,27,3,100182,42
Financial Industry Regulatory Authority,86,201704,40,15,104890,41
Sheet Metal Mechanic,206,201503,15,39,102726,86
Dodd-Frank,72,201707,43,37,101309,35
Marketo,129,201611,35,24,83334,56
Golang,91,201505,17,0,88049,43
Switching and Routing,220,201812,60,51,82761,89
Business Intelligence,41,201904,64,1209,132847,19
Data Entry Software,66,201611,35,130,83334,31
Delphi Technology,68,201608,32,4,104211,32
XHTML,246,201605,29,93,89037,97
Linux Scripting,127,201505,17,59,88049,55
VOIP,240,201709,45,201,114349,94
SolidWorks,259,201409,9,202,104405,101
Risk Analyst,192,201510,22,558,98076,76
Augmented Reality,30,201901,61,5,122037,11
Mastercam,58,201809,57,20,114604,26
VBScript,149,201406,6,30,32800,62
SketchUp Pro,230,201806,54,52,122500,91
Certified Credit Professional,44,201510,22,16,98076,22
Augmented Reality,30,201809,57,13,114604,11
External Auditor,83,201712,48,132,76994,39
Data Entry Software,66,201712,48,304,76994,31
Computer Aided Design and Drafting,61,201707,43,75,101309,27
SAP,198,201511,23,1447,89588,80
Security Policies and Procedures,202,201409,9,11,104405,82
Content Strategy,62,201904,64,135,132847,28
Web Security and Encryption,242,201608,32,11,104211,96
Agile Development,14,201704,40,1523,104890,7
Azure,251,201610,34,409,95676,99
AutoCAD,31,201403,3,344,32230,12
InfoSphere DataStage,102,201403,3,17,32230,45
SolidWorks,259,201612,36,107,62773,101
